Atlanten	اقیانوس اطلس
avvärjer	زمان حال از:، دفع کردن حمله حریف، متوقف کردن، از خود دور کردن، دفع کردن
avvärjt	ماضی نقلی و بعید از:، دفع کردن حمله حریف، متوقف کردن، از خود دور کردن، دفع کردن
avyttra	از شر چیزی راحت شدن، فروختن
avyttrade	زمان گذشته از:، از شر چیزی راحت شدن، فروختن
avyttrar	زمان حال از:، از شر چیزی راحت شدن، فروختن
avyttrat	ماضی نقلی و بعید از:، از شر چیزی راحت شدن، فروختن
ax	سنبله
axel	محور، قطب، میله، شانه، کتف
b	ب
babbel|babblet	ور و ور، من من، یاوه
babbla|babblade|babblar|babblat	ناشمرده سخن گفتن، من و من کردن، یاوه گفتن ، وراجی کردن (Slang)
babblade	زمان گذشته از:، ناشمرده سخن گفتن، من و من کردن، یاوه گفتن ، وراجی کردن (Slang)
babblar	زمان حال از:، ناشمرده سخن گفتن، من و من کردن، یاوه گفتن ، وراجی کردن (Slang)
babblat	ماضی نقلی و بعید از:، ناشمرده سخن گفتن، من و من کردن، یاوه گفتن ، وراجی کردن (Slang)
babian|babianen	از انواع میمون (عنتر)
babianer|babianerna	babian (جمع)
babord	1. سمت چپ کشتی، 2. به طرف سمت چپ
baby|babyn	کودک، طفل
babyar	baby (جمع)
babylonier|babyloniern	اهل بابل باستانی
babylonisk|babyloniskt	بابلی
babysäng|babysängen	تخت بچه گانه
babysängar|babysängarna	babysنng (جمع)
babyutstyrsel|babyutstyrseln	تجهیزات کامل نوزاد
babyutstyrslar|babyutstyrslarna	babyutstyrsel (جمع)
bacill|bacillen	باسیل، موجود ذره بینی بیماری زا
bacillbärare|bacillbäraren|bacillbärarn|bacillbärarna	حامل باسیل
baciller|bacillerna	bacill (جمع)
bacillfri|bacillfritt	عاری از باسیل
bacillskräck|bacillskräcken	وحشت نامعقول برای گرفتار شدن به بیماری
bacitracin	از انواع آنتی بیوتیک ها
back	1. جعبه، طبق 2. ناوه 3. جعبه یا چهار چوبی که برای حمل شیشه است 4. قسمت جلو عرشه کشتی 5. بازیکن دفاعی (بک)، 1. به عقب 2. در عقب کشتی
backa|backade|backar|backat	1. به عقب راندن، عقب رفتن، 2. پس زدن، برگرداندن
backa ut|backa	1. بیرون راندن (از عقب) 2. جر زدن، دبه درآوردن 
backade	زمان گذشته از:، به عقب راندن، عقب رفتن، پس زدن، برگرداندن
backanal|backanalen	بزم میگساری
backanaler	backanal (جمع)
backanalisk|backanaliskt	میگسار، عیاش
backar	زمان حال از:، به عقب راندن، عقب رفتن، پس زدن، برگرداندن
backarna|backar|backe	backe (جمع)
backat	ماضی نقلی و بعید از:، به عقب راندن، عقب رفتن، پس زدن، برگرداندن
backe|backen	، 1.تپه، 2. شیب، 3. سربالایی، 4. سرازیری، 5. پیست اسکی، 6. زمین، خاک
backhoppare|backhopparen|backhopparn|backhopparna	اسکی باز پرنده
backhoppning|backhoppningen	پرش با اسکی
backhoppningar	backhoppning (جمع)
backig|backigt	1. تپه ای، 2. ناهموار، پست و بلند
backighet|backigheten	ناهمواری
backigheter|backigheterna	backighet (جمع)
backigt	تپه ای، ناهموار، پست و بلند
backkrön|backkrönet	بالای تپه
backkrönen	backkrِn (جمع)
backsippa|backsippan	شقایق نعمایی
backsippor	backsippa (جمع)
backslag|backslaget	1. دنده عقب، 2. پس زنش احتراق در موتورهای درونسوز قبل از تکمیل عمل تراکم
backslagen	backslag (جمع)
backsluttning|backsluttningen	شیب تپه
backsluttningar	backsluttning (جمع)
backspegel|backspegeln	آئینه عقب
backspeglar	backspegel (جمع)
backstugusittare|backstugusittaren|backstugusittarn|backstugusittarna	شخصی که در خانه ای (کوچک) زندگی میکند که در ملک شخص دیگری واقع شده
backsvala|backsvalan	یک نوع چلچله
backsvalor	backsvala (جمع)
backtryck|backtrycket	پس فشار
backtrycken	backtryck (جمع)
backtävling|backtävlingen	مسابقه موتورسواری روی تپه
backtävlingar	backtنvling (جمع)
backväxel|backväxeln	دنده عقب
backväxlar	backvنxel (جمع)
backåkning|backåkningen	سواری روی تپه (پیست)
backåkningar	backهkning (جمع)
bacon	گوشت شورکرده ران خوک
bad	استحمام- گرمابه، آبتنی ، وسیله ایست برای غوطه ورکردن یک شییی در مایع، زمان گذشته از:، دعا کردن، عبادت کردن، پرستش کردن
bada|badade|badar|badat	1. حمام کردن، شستشو کردن، 2. شستشو دادن، غسل دادن، آبتنی کردن
bada varmt|bada	حمام گرم گرفتن
badade	زمان گذشته از:، حمام کردن، شستشو کردن، شستشو دادن، غسل دادن، آبتنی کردن
badanstalt	1. گرمابه، حمام عمومی، 2. محل(دفتر) مجاور آب معدنی
badar	زمان حال از:، حمام کردن، شستشو کردن، شستشو دادن، غسل دادن، آبتنی کردن
badare|badaren	دلاک
badat	ماضی نقلی و بعید از:، حمام کردن، شستشو کردن، شستشو دادن، غسل دادن، آبتنی کردن
badbalja|badbaljan	وان حمام
badbaljor	badbalja (جمع)
badbassäng|badbassängen	استخر، حوض
badbassänger	badbassنng (جمع)
badborstar	badborste (جمع)
badborste|badborsten	برس حمام
badbyxor	مایو
badda|baddade|baddar|baddat	1. نم زدن، 2. باچیزی گرم مالش دادن، گرم کردن
baddade	زمان گذشته از:، نم زدن، باچیزی گرم مالش دادن، گرم کردن
baddar	زمان حال از:، نم زدن، باچیزی گرم مالش دادن، گرم کردن
baddare|baddaren|baddarn|baddarna	، 1.نمونه بزرگ، 2. ورزشکار قهرمان
baddat	ماضی نقلی و بعید از:، نم زدن، باچیزی گرم مالش دادن، گرم کردن
baddning	ترسازی
baddräkt|baddräkten	لباس شنا
baddräkter	baddrنkt (جمع)
baderska|baderskan	دلاک زن
baderskor	baderska (جمع)
badet	1. استحمام- گرمابه، 2. آبتنی ، 3. وسیله ایست برای غوطه ورکردن یک شییی در مایع
badflicka|badflickan	دختری که با لباس شنا جلوی دوربین ظاهر میشود
badflickor	badflicka (جمع)
badgäst|badgästen	مشتری حمام معدنی
badgäster	badgنst (جمع)
badhandduk|badhandduken	حوله حمام(آبتنی)
badhanddukar	badhandduk (جمع)
badhotell|badhotellet	هتل ساحلی
badhotellen	badhotell (جمع)
badhus|badhuset	محل استخر و سونا
badhusen	badhus (جمع)
badkar|badkaret	وان حمام
badkaren	badkar (جمع)
badlakan|badlakanet	حوله بزرگ حمام
badlakanen	badlakan (جمع)
badminton	بدمینتون
badmästare|badmästaren|badmästarn|badmästarna	مربی(کارمند) استخر
badmössa|badmössan	کلاه شنا
badmössor	badmِssa (جمع)
badning	استحمام، آبتنی
badort|badorten	محل شنا، ساحل
badorter	badort (جمع)
badrum|badrummet	حمام
badrummen	badrum (جمع)
badsalt|badsaltet	نوعی نمک شیمیایی جهت ملایم کردن آب استخر
badsalter	badsalt (جمع)
badstrand|badstranden	ساحل شنا
badstränder|badstränderna	badstrand (جمع)
badställe|badstället	محل شنا
badställen	badstنlle (جمع)
baffel|baffeln	سپر صداگیر، تیغه یا جداری که در دیافراگم بلندگو میرود
bafflar	baffel (جمع)
bag|bagen|bagg|baggen|bäg	کیف دستی
bagage|bagaget	اسباب سفر
bagagehållare|bagagehållaren|bagagehållarn|bagagehållarna	باربند
bagagelucka|bagageluckan	صندوق عقب
bagageluckor	bagagelucka (جمع)
bagar|baggar	bag (جمع)
bagare|bagaren|bagarn	نانوا
bagarna	bagare (جمع)
bagatell|bagatellen	چیز ناقابل، پشیز
bagatellartad|bagatellartat	جزئی، کم مایه، ناچیز
bagateller	bagatell (جمع)
bagatellisera|bagatelliserade|bagatelliserar|bagatelliserat	1. بی اهمیت شمردن، مبتذل کردن، 2. کم تقصیر قلمداد کردن
bageri|bageriet|bagerit	1. نانوائی، 2. دکان نانوائی
bageridkare	نانوا
bagerier	bageri (جمع)
bagerska|bagerskan	زن نانوا
bagerskor	bagerska (جمع)
baggar|baggarna	bagge اسم (جمع)
bagge|baggen	قوچ
bahytt|bahytten	نوعی کلاه زنانه
bahytter	bahytt (جمع)
baisse|baissen	کاهش، تنزل، افت
baisser	baisse (جمع)
bajonett|bajonetten	سرنیزه
bajonetter	bajonett (جمع)
bajonettkoppling|bajonettkopplingen	پیچ سر و ته
bajonettkopplingar|bajonettkopplingarna	bajonettkoppling (جمع)
bajs	ان، گه
bajsa|bajsade|bajsar|bajsat	ریدن، مدفوع کردن، ایی کردن
bajsade	زمان گذشته از:، ریدن، مدفوع کردن، ایی کردن
bajsar	زمان حال از:، ریدن، مدفوع کردن، ایی کردن
bajsat	ماضی نقلی و بعید از:، ریدن، مدفوع کردن، ایی کردن
bak	، 1.پشت، عقب، 2. یک پخت نان، صندلی عقب، تخته روی میز- پشت سر
baka|bakade|bakar|bakat	پختن، پخته شدن
baka bröd|baka	نان پختن، نان درست کردن
baka ihop sig|baka	بهم چسبیدن
baka in|baka	محبوس کردن، در بر داشتن
baka ut degen|baka|deg	خمیر را بوزک دار کردن (تخت کردن)
bakade	زمان گذشته از:، پختن، پخته شدن
bakar	زمان حال از:، پختن، پخته شدن، جمع از: صندلی عقب، تخته روی میز، پشت سر
bakat	ماضی نقلی و بعید از:، پختن، پخته شدن
bakaxel|bakaxeln	محور عقب
bakaxelväxel|bakaxelväxeln	دیفرانسیل، کله گاوی
bakaxelväxlar|bakaxelväxlarna	bakaxelvنxel (جمع)
bakaxlar	bakaxel (جمع)
bakband	زمان گذشته از:، از پشت دستها را بستن
bakben|bakbenet	پای عقب (پسین)
bakbenen	bakben (جمع)
bakband|bakbinda|bakbinder|bakbundit	از پشت دستها را بستن
bakbinder	زمان حال از:، از پشت دستها را بستن
bakbord|bakbordet	میز جهت پخت
bakborden|bakbordena	bakbord (جمع)
bakbundit	ماضی نقلی و بعید از:، از پشت دستها را بستن
bakdantare|bakdantaren	شخص بدگو(سخن چین)
bakdanteri|bakdanteriet|bakdanterit	بدگوئی
bakdanterier	bakdanteri (جمع)
bakdel|bakdelen	1. لنبر، لمبر، سرین، 2. پشت، 3. نصف قسمت خلفی گوشت
bakdelar	bakdel (جمع)
bakdörr|bakdörren	درعقب
bakdörrar	bakdِrr (جمع)
bakefter	بعد از، در پشت
bakelse|bakelsen	نان شیرینی
bakelseform|bakelseformen	غالب شیرینی
bakelseformar|bakelseformarna	bakelseform (جمع)
bakelser	bakelse (جمع)
baken	1. صندلی عقب، 2. تخته روی میز، 3. پشت سر، 4. پشت، عقب
bakerst	عقب ترین
bakersta	دورترین، پسین
baket	، 1.پشت، عقب، 2. یک پخت نان
bakficka|bakfickan	جیب پشت شلوار
bakfickor|bakfickorna	bakficka (جمع)
bakfot|bakfoten	پای عقبی
bakfram	پشت به جلو، پشت و رو
bakfull|bakfullt	خماری بعد از مستی
bakfötter|bakfötterna	bakfot (جمع)
bakgata|bakgatan	خیابان فرعی
bakgator|bakgatorna	bakgata (جمع)
bakgrund|bakgrunden	سابقه، زمینه
bakgrunder|bakgrunderna	bakgrund (جمع)
bakgård|bakgården	حیاط خلوت
bakgårdar|bakgårdarna	bakgهrd (جمع)
bakhal|bakhalt	(پشت) لیز
bakhalt	لیز(پشت)
bakhas|bakhasen	قسمت میانی از استخوان درشت نی
bakhjul|bakhjulet	چرخ عقب
bakhjulen	bakhjul (جمع)
bakhjulsdrift|bakhjulsdriften	دور چرخ
bakhjulsdrifter	bakhjulsdrift (جمع)
bakhåll|bakhållet	1. کمینگاه، پناهگاه، 2. مخفیگاه سربازان جهت حمله
bakhållen	جمع از:، 1. کمینگاه، پناهگاه، 2. مخفیگاه سربازان جهت حمله
baki	1. از پشت، 2. درپس، پشت
bakifrån	از پشت
bakkappa|bakkappan	پاشنه بالایی
bakkappor|bakkapporna	bakkappa (جمع)
bakkropp|bakkroppen	شکم، بطن
bakkroppar	bakkropp (جمع)
bakladdare|bakladdaren	تفنگ ته پر
baklykta|baklyktan	چراغ عقب (ماشین)
baklyktor|baklyktorna	baklykta (جمع)
baklänges	برعکس، وارونه، به پشت
bakläxa|bakläxan	مجبور به انجام دوباره تکالیف خانه شدن
bakläxor|bakläxorna	جمع از: مجبور به انجام دوباره تکالیف خانه شدن
baklås	قفل شدن درب
bakning|bakningen	پخت (شیرینی و غیره)
bakningar	bakning (جمع)
bakom	پشت، عقب، سبک مغز
bakom stängda dörrar|stängd	پشت درهای بسته
bakplåt	سینی پخت
bakpulver|bakpulvret	جوش شیرین
bakpulvren	bakpulver (جمع)
bakpå	به پشت، از پشت
bakre	1. پشتی، در عقب، 2. عقبی
bakre del|bakre	 قسمت عقب.
bakrus|bakruset	خماری بعد از مستی
bakrusen	bakrus (جمع)
bakruta|bakrutan	شیشه عقب (ماشین)
bakrutor|bakrutorna	bakruta (جمع)
baksida	سمت عقب، طرف پشت سکه
baksidan	سمت عقب، طرف پشت (سکه)
baksidor|baksidorna	baksida (جمع)
bakslag|bakslaget	1. شکست، واژگونی، 2. بدبختی، 3. واکنش، عکس العمل، 4. برگشتگی به عقب، 5. پس زنی
bakslagen	bakslag (جمع)
bakslug|bakslugt	دسیسه کار، آب زیرکاه
baksmälla|baksmällan	خماری (حالت) بعد از مستی
baksmällor	جمع از: خماری (حالت) بعد از مستی
baksteg|baksteget	1. برگشت، 2. شکست، ناکامی
bakstegen	baksteg (جمع)
bakström|bakströmmen	1. جریان برق در جهت مخالف، 2. جریان آب کمی که در جهت مخالف آب بیشتری جاری است
bakströmmar	جمع از:، 1. جریان برق در جهت مخالف، 2. جریان آب کمی که در جهت مخالف آب بیشتری جاری است
baksäte|baksätet	صندلی عقب
baksäten	صندلیهای عقب
baktal|baktalet	تهمت، افترا، بدگویی
baktala|baktalade|baktalar|baktalat	بدگویی کردن
baktalade	زمان گذشته از:، بدگویی کردن
baktalar	زمان حال از:، بدگویی کردن
baktalare|baktalaren	بدگو
baktalat	ماضی نقلی و بعید از:، بدگویی کردن
baktalen	baktal (جمع)
baktankar	baktanke (جمع)
baktanke|baktanken	فکر پنهانی، سر
baktass|baktassen	پای عقب
baktassar	baktass (جمع)
bakterie|bakterien	باکتری
bakteriedödande|bakteriedödandet	مخرب باکتری
bakteriefri|bakteriefritt	بدون باکتری، ضد عفونی شده
bakteriehärd|bakteriehärden	مرکز سلول باکتری
bakteriehärdar	جمع از:، مرکز سلول باکتری
bakterier	bakterie (جمع)
bakteriofag|bakteriofagen	باکتری خوار
bakteriofager	bakteriofag (جمع)
bakteriolog|bakteriologen	میکروب شناس
bakteriologer	bakteriolog (جمع)
bakteriologi|bakteriologien|bakteriologin	باکتری شناسی
bakteriologisk|bakteriologiskt	مربوط به باکتری شناسی
baktill	پشت، درعقب
baktung|baktungt	سنگین(درقسمت عقب)
baktungt	سنگین(درقسمت عقب)
baktända|baktände|baktänder|baktänt	پس زنی
bakugn|bakugnen	فر، تنور
bakugnar	bakugn (جمع)
bakut	به پشت، به طرف عقب
bakvatten|bakvattnet	جریان برق در جهت مخالف، جریان آب کمی که در جهت مخالف آب بیشتری جاری است
bakvattenen	bakvatten (جمع)
bakverk|bakverket	نان شیرینی
bakverken	bakverk (جمع)
bakväg|bakvägen	راه پشتی، در عقبی
bakvägar	راههای پشتی، درهای عقبی
bakvänd|bakvänt	، 1.پشت و رو، برعکس، 2. غیر استادانه، 3. مزخرف، بی معنی
bakväxel|bakväxeln	دنده عقب
bakväxlar	دنده های عقب
bakåt	1. به طرف عقب، وارونه، 2. برگشت
bakåtböjd|bakåtböjt	پشت خم
bakåtböjning|bakåtböjningen	خم به پشت
bakåtböjningar	جمع از:، خم به پشت
bakåtböjt	پشت خم
bakåtlutad|bakåtlutat	به پشت تکیه کرده
bakåtriktad|bakåtriktat	سر به پشت
bakåtsträvande|bakåtsträvandet	ارتجاعی، واپس گرا
bakåtsträvanden	جمع از: ارتجاعی، واپس گرا
bakåtsträvare|bakåtsträvaren|bakåtsträvarn	شخص ارتجاعی
bakåtsträveri|bakåtsträveriet	وا پس گرائی
bakåtvänd|bakåtvänt	پشت و رو
bakåtvända|bakåtvändan	ته، قسمت عقب
bakåtvändor	ته، قسمتهای عقب
bakélit|bakelit|bakéliten	باکلیت، صمغ: نام تجارتی نوعی صمغ و پلاستیک که در عایق بکار میرود.
bal|balen	مجلس رقص، عدل، لنگه
balalajka	نوعی ساز روسی
balans|balansen	1. توازن، تعادل، 2. شاهین ترازو، 3. مانده، تتمه، موازنه ، 4. رقاص ساعت
balanser	balans (جمع)
balansera|balanserade|balanserar|balanserat	1. سنجیدن، برابرکردن، موازنه کردن، میزان کردن، 2. برابرشدن، ترازشدن، 3. منقول ساختن
balansera med överskott|balansera|överskott	مازاد توازن را نشان دادن.
balanserad|balanserat	متوازن، میزان
balanserad budget|balanserad|budge	بودجه متوازن.
balanserade	زمان گذشته از:، سنجیدن، برابرکردن، موازنه کردن، میزان کردن، برابرشدن، ترازشدن، منقول ساختن
balanserar	زمان حال از:، سنجیدن، برابرکردن، موازنه کردن، میزان کردن، برابرشدن، ترازشدن، منقول ساختن
balanserat	ماضی نقلی و بعید از:، سنجیدن، برابرکردن، موازنه کردن، میزان کردن، برابرشدن، ترازشدن، منقول ساختن
balanshjul|balanshjulet	چرخ طیار
balanshjulen	balanshjul (جمع)
balansrevision|balansrevisionen	ترازنامه ممیزی
balansrevisioner	balansrevision (جمع)
balansräkning|balansräkningen	ترازنامه: وضع بدهی و دارایی و سرمایه یک موسسه در یک زمان معین
balansräkningar	ترازنامه ها: وضع بدهی و دارایی و سرمایه یک موسسه در یک زمان معین
balansvåg|balansvågen	نوعی ترازو
balansvågar	نوعی ترازو
balar	عدل ها، لنگه ها، آشیانه پرنده که از علف، پر و پر نرم بر روی زمین ساخته شده و محلی برای تخمگذاری پرنده میباشد
baldakin|baldakinen	آسمانه، قبه، سایبان
baldakiner	baldakin (جمع)
baldersbrå|baldersbrån|baldersbrår|baldersbråt	گیاهی است
bale|balen	آشیانه پرنده که از علف، پر و پر نرم بر روی زمین ساخته شده و محلی برای تخمگذاری پرنده میباشد.
baler	مجالس رقص
balett|baletten	بالت
balettdansare|balettdansaren|balettdansarn	رقاص بالت یا باله
balettdansarna	balettdansare (جمع)
balettdansör|balettdansören	رقاص بالت یا باله
balettdansörer	رقاصهای بالت یا باله
balettdansös|balettdansösen	رقاصه بالت یا باله
balettdansöser	رقاصه های بالت یا باله
baletter	balett (جمع)
balettflicka|balettflickan	دختری که در یک دسته کر میخواند یا میرقصد
balettflickor	balettflicka (جمع)
balettmästare|balettmästaren|balettmästarn	طراح فیگورهای بالت
balettmästarna	طراحین فیگورهای بالت
balja|baljan	1. ، لگن- طشت، 2. کاسه، 3. غلاف، جلد، 4. نیام باقلا
baljor	balja (جمع)
baljväxt|baljväxten	گیاهانی که میوه آنها در نیام قراردارند.(مانند نخودفرنگی و باقلا)
baljväxter	گیاهانی که میوه آنها در نیام قراردارند.(مانند نخودفرنگی و باقلا)
balk|balken	1. تیرچوبی بلند چهارگوش، 2. تیرآهن، 3. قسمت اصلی قانون عمومی سوئد، 4. مجمع القوانین، قانون مجموعه هرچیز
balka	دیوارکشیدن
balka av	دیوار کشیدن
balkade	زمان گذشته از:، دیوارکشیدن
balkar	balk (جمع)
balkat	ماضی نقلی وبعید از:، دیوارکشیدن
balkong|balkongen	بالکن
balkonger	balkong (جمع)
balkonglåda|balkonglådan	جعبعه گل که معمولا در بالکن مورد استفاده قرار میگیرد
balkonglådor	جعبه های گل که معمولا در بالکن مورد استفاده قرار میگیرند
ballad|balladen	1. تصنیف، آواز، 2. قصیده
balladdiktning|balladdiktningen	قصیده سرائی
balladdiktningar	balladdiktning (جمع)
ballader	ballad (جمع)
ballast	بارسنگین از هر چیز
ballistik|ballistiken	علم اجسام پرتاب شونده
ballistikt	علم اجسام پرتاب شونده
ballistisk|ballistiskt	وابسته به علم پرتاب گلوله
ballong|ballongen	1. بادکنک، بالن ، 2. قایق بزرگ بادی
ballongboll|ballongbollen	یکنوع بازی گروهی با یک توپ بزرگ که پرتاب میگردد و در صورت امکان توسط تیم مقابل در هوا گرفته میشود
ballongboller	ballongboll (جمع)
ballongdäck|ballongdäcket	تایر ماشین با اندازه نسبتاً بزرگ و فشار باد نسبتاً کم
ballongdäcken	تایرهای ماشین با اندازه نسبتاً بزرگ و فشار باد نسبتاً کم
ballonger	ballong (جمع)
ballongflygning|ballongflygningen	پرواز با بالن بادی حامل سرنشین که امروزه بیشتر بعنوان ورزش و مسابقه استفاده میشود.
ballongflygningar	ballongflygning (جمع)
ballonggas|ballonggasen	گازی که از هوا سبکتر بوده و در پرواز با بالن استفاده میشود
ballonggaser	ballonggas (جمع)
ballongsegel|ballongseglet	نوعی بادبان منحنی (برآمده) از جنس کتان ساده
ballongseglen	ballongsegel (جمع)
balloptikon|balloptikonet	پرژکتور برای تصاویر مات و کدر
balloptikonen	balloptikon (جمع)
balneologi|balneologien|balneologin	علم استحمام درمانی
balsa|balsan	نوعی کرجی ابتدائی از جنس نوعی چوب
balsal|balsalen	سالن رقص
balsalar	balsal (جمع)
balsam|balsamen	1. نوعی روغن برای موها، 2. بلسان، مرهم
balsamer	balsam (جمع)
balsamera|balsamerade|balsamerar|balsamerat	حنوط کردن، مومیایی کردن
balsamerade	زمان گذشته از:، حنوط کردن، مومیایی کردن
balsamerar	زمان حال از:، حنوط کردن، مومیایی کردن
balsamerat	ماضی نقلی وبعید از:، حنوط کردن، مومیایی کردن
balsamin|balsaminen	مواد معطر صمغی
balsaminer	balsamin (جمع)
balsamisk|balsamiskt	مرهم، دارای خاصیت مرهم
balsamiskt	مرهم، دارای خاصیت مرهم
balsaträ|balsaträet|balsaträt	نوعی چوب
balsor	balsa (جمع)
balt|balten	اهل بالتیک (مرد)
balter	balt (جمع)
baltisk|baltiskt	مربوط به بالتیک
baltiska|baltiskan	زن بالتیکی
baltiskor	baltiska (جمع)
balustrad|balustraden	طارمی، نرده
balustraddocka|balustraddockan	ستون کوچک گچبری شده
balustraddockor	balustraddocka (جمع)
balustrader	balustrad (جمع)
bambu|bambun	خیزران، نی هندی
bamburör|bamburöret	نی خیزران
bamburören	نی های خیزران
bamsar	bamse (جمع)
bamse|bamsen	بزرگ، گنده
bana	1. جاده، راه، 2. مسیر، گذر، 3. مدار، 4. تحول، دوره زندگی، 5. خط سیر، خط، زمین بازی، 6. خط آهن، ریل آهن، 7. لوله، توپ، راه را پاک یا صاف کردن، آماده کردن، بازکردن
bana|banade|banar|banat	1. راه را پاک یا صاف کردن، 2. آماده کردن، بازکردن
bana sig väg|bana	راه خود را در پیش گرفتن.
banal|banalt	1. پیش پا افتاده، مبتذل، 2. بی روح، بی حرکت، بیمزه، 3. ازمدافتاده، قدیمی
banalisera|banaliserade|banaliserar|banaliserat	مبتذل شمردن
banaliserade	زمان گذشته از:، مبتذل شمردن
banaliserar	زمان حال از:، مبتذل شمردن
banaliserat	ماضی نقلی و بعید از:، مبتذل شمردن
banalitet|banaliteten	بیمزگی، کهنگی
banaliteter	banalitet (جمع)
banan|bananen	موز
bananer	banan (جمع)
bananfluga|bananflugan	یک نوع حشره است
bananflugor	bananfluga (جمع)
banankontakt|banankontakten	دوشاخه موزی شکل
banankontakter	banankontakt (جمع)
bananrepublik|bananrepubliken	کشور عقب افتاده ای که از نظر اقتصادی کاملاً وابسته به صادرات بعضی از محصولات کشاورزی و در نتیجه وابسته به ملیتی قدرتمندتر باشد.
bananrepubliker	bananrepublik (جمع)
bananskal|bananskalet	پوست موز
bananskalen	bananskal (جمع)
banbrytande	پیشقدم، پیشرو
banbrytare|banbrytaren|banbrytarn	شخص پیش آهنگ یا پیش قدم
banbrytarna	banbrytare (جمع)
bancykel|bancykeln	دوچرخه مخصوص مسابقه
bancyklar	bancykel (جمع)
band	1. بند، تسمه 2. نوار، روبان 4. قیطان 5. هر چیزیکه شخص را مقید سازد، الزام، قید 6. جلد 7. گروه یا دسته ارکستر 8. باریکه ای که قسمتی از بدن را میبندد 9. آرماتور، میله داخل بتون جهت تقویت آن
banda|bandade|bandar|bandat	روی نوار ضبط کردن، تسمه زدن
bandade	زمان گذشته از:، روی نوار ضبط کردن، تسمه زدن
bandage|bandaget	باند، نوار زخم بندی
bandagen	bandage (جمع)
bandar	زمان حال از:، روی نوار ضبط کردن، تسمه زدن
bandat	ماضی نقلی و بعید از:، روی نوار ضبط کردن، تسمه زدن
bandbroms|bandbromsen	ترمز تسمه ای
bandbromsar	bandbroms (جمع)
banddriven|banddrivet	بلدوزر تسمه ای، 
banddrivna	banddriven (جمع)
bandel	قسمتی از خط آهن
banderillero|banderilleron|banderilleros	گاوبازی که نیزه چنگکی شکل مزین به نوارهای کوچک را در گردن گاو در ابتدای گاوبازی فرو میبرد.
banderoll|banderol|banderollen	باندرول، کتیبه(باریک)
banderoller	banderoll (جمع)
bandformig|bandformigt	نوار مانند
bandformigt	نوار مانند
bandhund|bandhunden	سگ نگهبان
bandhundar|bandhundarna	bandhund (جمع)
bandinspelning|bandinspelningen	ضبط نوار
bandinspelningar	bandinspelning (جمع)
bandit|banditen	سارق، دزد، تبه کار
banditen	سارق، دزد، تبه کار
banditer	سارقین، دزدها، تبه کارها
bandjärn|bandjärnet	تسمه یا نوار آهنی
bandjärnen|bandjärnena	bandjنrn (جمع)
bandkedja|bandkedjan	تسمه فلزی بافته شده
bandkedjor|bandkedjorna	bandkedja (جمع)
bandliknande	تسمه ای، نوار مانند
bandmask|bandmasken	کرم کدو
bandmaskar	bandmask (جمع)
bandning	ضبط
bandprydd|bandprytt	با نوار تزئین شده
bandprytt	با نوار تزئین شده
bandspelare|bandspelaren|bandspelarn	ضبط صوت
bandspelarna	bandspelare (جمع)
bandsåg	اره تسمه ای
bandtraktor	بلدوزر
bandupptagning	ضبط نوار
bandvis	در چند جلد
bandy	چوگان بازی روی یخ
baneman	قاتل
banesår	زخم کشنده
banfritt	تحویل کالا روی واگن خط آهن
bang	صدای برخورد هوا با جلو هواپیمای دارای سرعت مافوق صوت (هنگام فرود)
bangård	ایستگاه راه آهن
banhall	سالن ایستگاه راه آهن
baningenjör	مهندس راه آهن
banjo	بانجو
bank	خاکریزی، سنگ چینی، ساحل شنی- ساحل ، بانک- صرافخانه
banka	بلند به صدادرآوردن، کوبیدن، کسرکردن
bankaccept	سند یا حواله پذیرفته شده بانک، پذیرش بانک
bankade	زمان گذشته از:، کوبیدن، کسرکردن، بلند به صدادرآوردن
bankaffär	معامله بانکی
bankaktiebolag	شرکت بانکداری
bankaktier	اوراق بهادار، اسناد بانکی
bankar	زمان حال از:، کوبیدن، کسرکردن، بلند به صدادرآوردن
bankat	ماضی نقلی و بعید از:، کوبیدن، کسرکردن، بلند به صدادرآوردن
bankaval	ضمانت بانک
bankavdelning	قسمت بانکداری
bankbesked	صورتحساب بانکی
bankbok	دفترچه بانک
bankbud	نامه رسان بانک
bankbuss	بانک سیار
bankdirektör	رئیس بانک
bankerfarenhet	تجربه بانکداری
bankett	مهمانی، ضیافت
bankettsal	سالن پذیرائی
bankfack	صندوق ایمنی در بانک
bankfilial	شعبه بانک
bankgiro	حساب جاری بانکی
bankinlåning	سپرده (ودیعه) بانکی
bankinrättning	انستیتوی بانکداری
bankir	بانکداری
bankirfirma	شرکت بانکداری
bankjuridik	قانون بانکها
bankkamrer	حساب بانک، ریاست (شعبه) بانک
bankkassör	صندوقدار بانک
bankkonto	حساب بانکی
bankkrasch	ورشکستگی بانکی
banklån	وام بانکی
bankman	کارمند بانک
bankmässig	وابسته به بانکداری، بانکی
bankmässig säkerhet|bankmässig|bankmässigt	تضمین بانکی
bankmässigt	وابسته به بانکداری، بانکی
bankofullmäktige	هیئت عامله بانک مرکزی
bankomat	دستگاه خودکار برای برداشت پول از حساب بانکی
bankpapper	سهام بانکی
bankrutt	ورشکستگی، ورشکسته
bankruttmässig	عاجز از پرداخت دین
bankruttmässigt	عاجز از پرداخت دین
bankruttör	تاجر ورشکسته
bankräkning	حساب بانکی
